filename,IOU,Pixel_Accuracy,Mean_Class_IOU
real_A_epoch_100_test_65.png,0.0841,0.5040,0.0420
real_A_epoch_100_test_66.png,0.0000,0.8551,0.0000
real_A_epoch_100_test_67.png,0.0630,0.7615,0.0342
real_A_epoch_100_test_68.png,0.0124,0.5634,0.0124
real_A_epoch_100_test_69.png,0.0916,0.4077,0.0424
real_A_epoch_100_test_7.png,0.0001,0.6921,0.0001
real_A_epoch_100_test_70.png,0.0385,0.6597,0.0385
real_A_epoch_100_test_71.png,0.0000,0.7407,0.0000
real_A_epoch_100_test_72.png,0.2850,0.7301,0.1432
real_A_epoch_100_test_73.png,0.0000,0.8638,0.0000
real_A_epoch_100_test_74.png,0.0755,0.7591,0.0755
real_A_epoch_100_test_75.png,0.0823,0.5199,0.0325
real_A_epoch_100_test_76.png,0.0000,0.8521,0.0000
real_A_epoch_100_test_77.png,0.4572,0.7676,0.4572
real_A_epoch_100_test_78.png,0.0017,0.5668,0.0006
real_A_epoch_100_test_79.png,0.1356,0.5160,0.0461
real_A_epoch_100_test_8.png,0.1124,0.6575,0.1124
real_A_epoch_100_test_80.png,0.0000,0.4895,0.0000
real_A_epoch_100_test_81.png,0.3495,0.8511,0.1763
real_A_epoch_100_test_82.png,0.0000,0.8773,0.0000
real_A_epoch_100_test_83.png,0.1336,0.5169,0.0562
real_A_epoch_100_test_84.png,0.0000,0.7044,0.0000
real_A_epoch_100_test_85.png,0.0000,0.6359,0.0000
real_A_epoch_100_test_86.png,0.0274,0.6239,0.0084
real_A_epoch_100_test_87.png,0.3942,0.7591,0.2026
real_A_epoch_100_test_88.png,0.0000,0.8044,0.0000
real_A_epoch_100_test_89.png,0.0141,0.7174,0.0099
real_A_epoch_100_test_9.png,0.0054,0.3818,0.0045
real_A_epoch_100_test_90.png,0.2974,0.6323,0.1060
real_A_epoch_100_test_91.png,0.2313,0.6353,0.1250
real_A_epoch_100_test_92.png,0.0938,0.7052,0.0475
real_A_epoch_100_test_93.png,0.3574,0.8479,0.1757
real_A_epoch_100_test_94.png,0.0000,0.6860,0.0000
real_A_epoch_100_test_95.png,0.0215,0.8361,0.0095
real_A_epoch_100_test_96.png,0.0000,0.5181,0.0000
real_A_epoch_100_test_97.png,0.0189,0.5375,0.0088
real_A_epoch_100_test_98.png,0.0489,0.7310,0.0167
real_A_epoch_100_test_99.png,0.3876,0.6812,0.3876
AVERAGE,0.0983,0.6707,0.0654
