epoch,loss_G,loss_G_A,loss_G_B,loss_cycle_A,loss_cycle_B,loss_idt_A,loss_idt_B,loss_D_A,loss_D_B
55,4.130044300338139,0.5807801378664673,0.4591085588017749,1.091179096426206,1.103942222613981,0.4483804729455772,0.446653814374775,0.12402728289321087,0.17076206267734562
55,4.108405223314551,0.5827832192523235,0.45683312182896946,1.0819257147487313,1.0968051095684428,0.4453680382586312,0.44469001252522533,0.12233594788246784,0.1719618795811013
56,4.107086766784874,0.58037102598602,0.4558861802452184,1.0833187633413246,1.0943860046599043,0.4465547094660542,0.4465700923123102,0.12248461282458799,0.17110194604022838
57,4.0694534228123285,0.5838046257832329,0.4488500483261458,1.0697300827306608,1.087193324156608,0.4401020251180993,0.4397733194761905,0.12045857264078047,0.17336695063915075
58,4.173339683255334,0.6057958646860347,0.47572120482372915,1.0823648866863622,1.1162821345109453,0.44992704157797114,0.4432485535450425,0.11351708973362774,0.16521148441563258
59,4.135468827015993,0.615312815008537,0.46341164665634577,1.0730745114575977,1.102042328962858,0.4443474494624531,0.43728008345774805,0.1114195754990328,0.16865300519930862
60,4.073736932860322,0.616260015832978,0.45629924272691114,1.0553654447264935,1.077300510060662,0.4374802878302434,0.4310314326227337,0.11774589196810949,0.16755980095858203
61,4.069953344214981,0.5971402737746264,0.4603262353196986,1.0526383470693628,1.0895225710641856,0.43832333341263224,0.43200257585860086,0.12001089490684813,0.16820222934263981
62,4.105946314745936,0.6091663229266654,0.46715968069404007,1.0613519111718017,1.0951890483431552,0.4429394247560487,0.43013992993862016,0.11486873210643765,0.16752683169262922
63,3.9995287528102366,0.595376840703234,0.4487976373789058,1.0352790320607677,1.0635268783819551,0.4342159342685382,0.422332428429259,0.1199731651583276,0.17319341127186835
64,3.9801178050005452,0.60119846368256,0.46552650715228633,1.023811992944806,1.0487543285518572,0.42128211482130606,0.4195444010410352,0.11804700718991559,0.17023677017813413
65,3.997438418990311,0.5873348852102903,0.4588132751281785,1.0358819654364992,1.0658588501243578,0.4280204702911527,0.4215289729310834,0.12115210295910353,0.166598048415789
66,4.022467584088109,0.6098249953552924,0.46381769848867377,1.0448251973608622,1.0597628422941583,0.42766061864201277,0.41657623459865667,0.11376505279271253,0.165469984162314
